Date,Supplier,Country,Manufacturer,Region,Warehouse,Distribution_Center,Product,Quantity,Unit_Cost,Transport_Cost,Delivery_Time (days),Delay (days),Revenue,Mode_Of_Transport
2024-02-23,Supplier_C,India,Manu_X,Europe,WH_Tokyo,DC_Mumbai,Tablet,706,110,95,10,2,142612,Sea
2025-01-30,Supplier_D,Japan,Manu_X,America,WH_Delhi,DC_Toronto,Tablet,242,81,90,10,1,40172,Rail
2024-02-15,Supplier_D,China,Manu_X,America,WH_Berlin,DC_Toronto,Phone,1406,214,73,5,0,382432,Air
2024-06-08,Supplier_A,USA,Manu_Z,Europe,WH_Tokyo,DC_Paris,Phone,1298,288,39,2,0,477664,Sea
2024-11-18,Supplier_A,India,Manu_X,Asia,WH_Delhi,DC_Seoul,Tablet,1978,265,49,10,1,714058,Rail
2024-05-24,Supplier_D,Brazil,Manu_Y,America,WH_SaoPaulo,DC_Mumbai,Tablet,258,220,15,5,1,73530,Air
2023-11-24,Supplier_C,USA,Manu_Z,America,WH_Berlin,DC_Toronto,Laptop,1173,167,77,8,1,294423,Sea
2025-05-05,Supplier_A,Brazil,Manu_Z,Asia,WH_Tokyo,DC_Toronto,Monitor,407,132,21,5,0,67562,Air
2023-09-21,Supplier_B,USA,Manu_Z,Europe,WH_Berlin,DC_Mumbai,Phone,1798,221,97,6,2,476470,Air
2024-09-03,Supplier_B,Japan,Manu_Z,Asia,WH_Berlin,DC_Toronto,Router,1154,121,15,10,2,175408,Sea
2024-10-25,Supplier_C,Germany,Manu_X,Asia,WH_Chicago,DC_Paris,Monitor,1888,245,89,4,1,575840,Truck
2024-04-12,Supplier_D,India,Manu_Y,Europe,WH_Berlin,DC_Toronto,Tablet,294,74,33,6,1,42336,Rail
2024-10-18,Supplier_C,Japan,Manu_X,America,WH_Berlin,DC_Seoul,Router,1148,285,33,4,1,435092,Sea
2025-03-02,Supplier_C,Brazil,Manu_Y,Europe,WH_Delhi,DC_Rio,Router,1668,105,18,8,0,226848,Truck
2024-06-08,Supplier_D,Germany,Manu_Z,America,WH_Chicago,DC_Rio,Monitor,1020,88,57,3,0,131580,Sea
2025-01-24,Supplier_A,China,Manu_Z,Asia,WH_Chicago,DC_Mumbai,Phone,321,255,92,2,1,112350,Truck
2024-09-13,Supplier_B,Brazil,Manu_Y,Asia,WH_Tokyo,DC_Seoul,Tablet,1946,227,96,4,0,505960,Air
2024-08-26,Supplier_B,USA,Manu_Z,Europe,WH_Tokyo,DC_Rio,Laptop,232,85,42,9,0,39440,Air
2024-11-03,Supplier_D,India,Manu_Z,Europe,WH_Tokyo,DC_Paris,Laptop,579,145,20,9,0,120432,Truck
2024-04-26,Supplier_C,China,Manu_Y,America,WH_Tokyo,DC_Mumbai,Laptop,487,227,71,5,0,136360,Sea
2023-08-10,Supplier_D,Japan,Manu_Y,Asia,WH_Chicago,DC_Rio,Laptop,1537,55,49,6,0,196736,Sea
2024-09-10,Supplier_D,India,Manu_Z,America,WH_Berlin,DC_Seoul,Laptop,1687,257,79,8,0,509474,Sea
2024-11-27,Supplier_C,USA,Manu_Z,Asia,WH_SaoPaulo,DC_Paris,Tablet,1514,250,89,3,1,489022,Sea
2024-03-25,Supplier_B,India,Manu_Z,Europe,WH_Berlin,DC_Mumbai,Phone,977,80,68,4,0,118217,Truck
2025-06-07,Supplier_A,USA,Manu_Y,Europe,WH_Chicago,DC_Mumbai,Monitor,598,291,76,2,1,224848,Air
2024-01-06,Supplier_A,India,Manu_X,Europe,WH_SaoPaulo,DC_Paris,Monitor,1372,154,87,4,2,326536,Sea
2025-07-05,Supplier_C,China,Manu_X,Europe,WH_Berlin,DC_Paris,Router,208,193,42,2,3,51584,Sea
2025-01-02,Supplier_B,Germany,Manu_X,America,WH_SaoPaulo,DC_Rio,Phone,1585,202,83,10,1,421610,Rail
2023-12-18,Supplier_A,Germany,Manu_Z,America,WH_Berlin,DC_Rio,Monitor,1171,224,96,3,1,293921,Sea
2023-09-28,Supplier_C,China,Manu_X,America,WH_Berlin,DC_Toronto,Router,415,289,94,6,2,152720,Air
2025-06-19,Supplier_A,Japan,Manu_Y,America,WH_Chicago,DC_Rio,Phone,1713,258,37,4,1,503622,Rail
2024-04-13,Supplier_B,China,Manu_Z,Asia,WH_Tokyo,DC_Toronto,Phone,281,237,82,5,1,91887,Truck
2024-02-06,Supplier_C,India,Manu_Z,America,WH_Berlin,DC_Toronto,Phone,1072,118,69,3,2,168304,Sea
2025-07-24,Supplier_C,USA,Manu_Z,America,WH_Tokyo,DC_Rio,Laptop,189,268,35,5,1,69174,Sea
2024-10-06,Supplier_A,USA,Manu_Y,America,WH_SaoPaulo,DC_Toronto,Phone,1430,153,100,8,0,324610,Rail
2024-10-24,Supplier_B,Brazil,Manu_X,Asia,WH_SaoPaulo,DC_Seoul,Phone,218,213,79,3,1,66054,Sea
2024-05-30,Supplier_C,Japan,Manu_X,Asia,WH_Berlin,DC_Mumbai,Laptop,743,172,84,6,0,166432,Rail
2025-05-10,Supplier_D,USA,Manu_Y,Europe,WH_Berlin,DC_Toronto,Phone,1450,286,21,7,2,448050,Rail
2024-04-20,Supplier_A,Brazil,Manu_Y,Asia,WH_Tokyo,DC_Toronto,Monitor,828,144,69,4,1,189612,Sea
2025-01-13,Supplier_B,India,Manu_Y,Europe,WH_Tokyo,DC_Mumbai,Monitor,1466,94,23,5,1,250686,Truck
2024-08-19,Supplier_D,Japan,Manu_Y,America,WH_Delhi,DC_Rio,Phone,254,128,30,2,2,56388,Air
2025-06-03,Supplier_D,USA,Manu_Z,Europe,WH_Chicago,DC_Seoul,Phone,1216,109,65,5,1,178752,Air
2025-02-25,Supplier_D,Brazil,Manu_X,Asia,WH_Tokyo,DC_Paris,Phone,1863,226,75,8,1,521640,Truck
2024-12-04,Supplier_B,USA,Manu_X,Asia,WH_Berlin,DC_Rio,Router,1464,226,65,3,2,437736,Rail
2024-05-27,Supplier_C,Brazil,Manu_Y,Asia,WH_SaoPaulo,DC_Seoul,Router,1134,215,65,6,0,266490,Rail
2025-04-22,Supplier_D,China,Manu_X,Europe,WH_Chicago,DC_Paris,Tablet,1528,237,30,2,0,446176,Truck
2024-09-03,Supplier_D,Japan,Manu_Z,America,WH_SaoPaulo,DC_Seoul,Monitor,1579,227,60,2,0,467384,Air
2024-02-04,Supplier_C,Japan,Manu_X,Asia,WH_Delhi,DC_Rio,Monitor,867,164,16,2,2,190740,Sea
2023-08-17,Supplier_D,USA,Manu_Y,Asia,WH_Chicago,DC_Toronto,Phone,972,116,50,7,0,141912,Rail
2025-03-29,Supplier_D,Germany,Manu_Y,Asia,WH_Tokyo,DC_Mumbai,Laptop,1108,103,60,2,1,187252,Rail
2024-10-28,Supplier_B,USA,Manu_Z,Europe,WH_SaoPaulo,DC_Mumbai,Router,362,217,31,5,0,109686,Sea
2023-12-24,Supplier_D,China,Manu_Y,America,WH_Berlin,DC_Toronto,Router,1900,150,92,3,1,418000,Rail
2024-03-08,Supplier_C,Germany,Manu_Z,America,WH_Chicago,DC_Seoul,Phone,1063,208,87,10,0,281695,Rail
2025-07-14,Supplier_A,Japan,Manu_Z,America,WH_Chicago,DC_Paris,Laptop,741,266,31,5,1,219336,Truck
2024-05-16,Supplier_A,Japan,Manu_Z,Asia,WH_SaoPaulo,DC_Paris,Phone,201,201,52,5,0,56280,Rail
2025-06-25,Supplier_C,Japan,Manu_X,America,WH_Tokyo,DC_Paris,Phone,1908,106,15,8,1,322452,Air
2025-03-18,Supplier_B,USA,Manu_X,Asia,WH_Tokyo,DC_Mumbai,Phone,1723,270,20,3,0,604773,Truck
2024-03-30,Supplier_A,Japan,Manu_X,Asia,WH_SaoPaulo,DC_Paris,Phone,1896,231,46,8,2,576384,Sea
2023-08-21,Supplier_A,Germany,Manu_Y,Europe,WH_Berlin,DC_Paris,Laptop,1058,257,30,10,1,370300,Air
2025-01-31,Supplier_B,Germany,Manu_X,Asia,WH_SaoPaulo,DC_Rio,Phone,241,281,62,8,3,83386,Sea
2023-10-25,Supplier_D,USA,Manu_X,Asia,WH_SaoPaulo,DC_Toronto,Phone,1741,74,74,3,0,203697,Air
2025-03-30,Supplier_B,India,Manu_Y,Asia,WH_Delhi,DC_Mumbai,Laptop,1741,65,77,2,0,161913,Sea
2025-03-16,Supplier_A,USA,Manu_Y,America,WH_Delhi,DC_Paris,Laptop,624,178,81,5,0,129168,Sea
2024-02-11,Supplier_C,Germany,Manu_X,Europe,WH_Tokyo,DC_Mumbai,Monitor,538,153,73,6,0,124278,Sea
2024-11-15,Supplier_B,Japan,Manu_Y,Europe,WH_Berlin,DC_Paris,Monitor,454,52,61,3,2,60836,Sea
2023-12-18,Supplier_D,Japan,Manu_X,Europe,WH_Tokyo,DC_Rio,Laptop,312,143,94,4,1,53040,Rail
2024-12-01,Supplier_D,Japan,Manu_Z,Asia,WH_SaoPaulo,DC_Rio,Tablet,155,233,37,2,0,48050,Truck
2025-07-03,Supplier_B,Japan,Manu_X,America,WH_Tokyo,DC_Seoul,Router,1898,198,21,9,1,499174,Air
2025-02-01,Supplier_D,USA,Manu_X,Asia,WH_Chicago,DC_Mumbai,Phone,1857,212,27,9,1,447537,Sea
2024-07-02,Supplier_B,Brazil,Manu_Z,Asia,WH_Tokyo,DC_Mumbai,Tablet,1999,144,74,7,0,409795,Sea
2024-02-03,Supplier_B,India,Manu_Y,Asia,WH_Berlin,DC_Paris,Tablet,1752,247,41,3,0,602688,Rail
2025-03-24,Supplier_A,Brazil,Manu_X,Asia,WH_Delhi,DC_Mumbai,Laptop,639,105,23,3,1,104157,Rail
2024-08-03,Supplier_C,India,Manu_Z,Europe,WH_SaoPaulo,DC_Rio,Monitor,1015,129,63,8,0,201985,Rail
2024-03-08,Supplier_C,Japan,Manu_X,America,WH_Berlin,DC_Mumbai,Phone,708,132,98,8,0,136644,Rail
2023-11-12,Supplier_C,India,Manu_Z,Europe,WH_Delhi,DC_Rio,Laptop,1244,147,94,2,0,297316,Sea
2025-07-14,Supplier_D,USA,Manu_X,Europe,WH_Tokyo,DC_Mumbai,Laptop,1561,69,68,2,1,182637,Truck
2025-06-17,Supplier_D,Japan,Manu_X,Europe,WH_SaoPaulo,DC_Rio,Router,1628,263,56,9,1,477004,Rail
2023-10-01,Supplier_A,USA,Manu_X,America,WH_SaoPaulo,DC_Seoul,Laptop,730,269,20,8,0,227030,Truck
2025-02-28,Supplier_A,USA,Manu_X,America,WH_Delhi,DC_Rio,Laptop,318,227,42,3,2,103668,Rail
2025-07-24,Supplier_C,China,Manu_Y,Europe,WH_Berlin,DC_Paris,Monitor,1458,216,80,2,2,405324,Truck
2024-06-16,Supplier_D,China,Manu_Z,Europe,WH_SaoPaulo,DC_Seoul,Laptop,874,88,72,7,2,139840,Truck
2024-10-03,Supplier_C,Germany,Manu_Y,Asia,WH_Berlin,DC_Seoul,Monitor,1582,131,98,3,0,322728,Air
2024-07-31,Supplier_D,USA,Manu_Y,America,WH_Berlin,DC_Toronto,Router,1614,152,18,6,0,367992,Air
2024-05-28,Supplier_C,India,Manu_X,Asia,WH_SaoPaulo,DC_Mumbai,Tablet,1188,167,34,5,1,283932,Air
2023-11-16,Supplier_A,Brazil,Manu_Y,Europe,WH_Chicago,DC_Seoul,Phone,952,94,20,6,0,168504,Rail
2025-06-25,Supplier_D,China,Manu_X,America,WH_Delhi,DC_Toronto,Tablet,499,112,54,9,3,98802,Sea
2024-08-22,Supplier_C,Japan,Manu_Z,Asia,WH_Berlin,DC_Mumbai,Monitor,1960,170,29,5,0,444920,Air
2025-07-31,Supplier_B,Germany,Manu_Z,America,WH_Berlin,DC_Toronto,Laptop,1085,249,16,9,0,302715,Air
2024-12-09,Supplier_D,Brazil,Manu_X,America,WH_Delhi,DC_Mumbai,Phone,829,223,63,7,1,215540,Rail
2025-05-06,Supplier_B,Japan,Manu_X,America,WH_Berlin,DC_Toronto,Router,766,295,14,9,1,297208,Truck
2025-06-07,Supplier_B,China,Manu_Z,America,WH_Delhi,DC_Seoul,Phone,300,68,46,10,1,33900,Truck
2025-07-19,Supplier_A,India,Manu_X,America,WH_Delhi,DC_Toronto,Phone,820,119,40,4,0,147600,Truck
2024-12-07,Supplier_C,India,Manu_Z,Asia,WH_SaoPaulo,DC_Mumbai,Router,350,235,72,4,1,105700,Rail
2024-06-23,Supplier_A,India,Manu_Z,Asia,WH_Berlin,DC_Seoul,Tablet,1851,161,92,10,0,390561,Air
2024-02-19,Supplier_C,India,Manu_Z,Asia,WH_Tokyo,DC_Toronto,Monitor,354,99,33,4,1,47790,Truck
2024-11-22,Supplier_A,Germany,Manu_X,America,WH_Berlin,DC_Paris,Monitor,207,197,38,4,3,51750,Air
2024-08-01,Supplier_D,India,Manu_X,Asia,WH_SaoPaulo,DC_Paris,Phone,378,155,99,9,0,76734,Sea
2024-11-10,Supplier_C,Germany,Manu_Z,Asia,WH_Tokyo,DC_Toronto,Tablet,1383,299,57,10,1,522774,Sea
2023-08-31,Supplier_C,China,Manu_Z,Europe,WH_Berlin,DC_Paris,Tablet,440,116,78,4,0,84920,Sea
2025-07-25,Supplier_C,Japan,Manu_Z,Europe,WH_Tokyo,DC_Toronto,Monitor,1509,50,89,6,0,224841,Truck
2024-03-29,Supplier_C,India,Manu_X,America,WH_Berlin,DC_Rio,Phone,248,72,85,9,0,24800,Air
2024-10-23,Supplier_B,USA,Manu_Z,Europe,WH_Tokyo,DC_Toronto,Laptop,604,287,55,9,1,190864,Truck
2025-02-01,Supplier_C,India,Manu_Z,Europe,WH_SaoPaulo,DC_Mumbai,Tablet,807,136,84,4,1,189645,Air
2025-01-23,Supplier_C,India,Manu_Y,America,WH_Tokyo,DC_Paris,Router,1397,52,91,6,2,142494,Air
2024-06-20,Supplier_C,Japan,Manu_Y,Asia,WH_Chicago,DC_Toronto,Laptop,1146,78,64,8,2,114600,Rail
2024-03-27,Supplier_C,USA,Manu_Y,America,WH_Berlin,DC_Toronto,Tablet,685,254,29,9,0,230160,Rail
2024-05-20,Supplier_A,India,Manu_X,Europe,WH_Tokyo,DC_Rio,Laptop,1048,292,33,10,0,410816,Air
2024-01-03,Supplier_D,Germany,Manu_X,America,WH_Delhi,DC_Toronto,Laptop,814,251,21,6,0,242572,Air
2024-12-14,Supplier_B,USA,Manu_X,Europe,WH_Berlin,DC_Mumbai,Laptop,1866,161,36,6,1,419850,Truck
2024-11-16,Supplier_D,Japan,Manu_X,America,WH_Berlin,DC_Paris,Tablet,1884,101,80,4,2,352308,Rail
2024-01-31,Supplier_D,China,Manu_Y,Asia,WH_Delhi,DC_Toronto,Laptop,980,293,85,6,1,308700,Rail
2025-02-06,Supplier_B,Brazil,Manu_Y,America,WH_Chicago,DC_Paris,Router,1707,253,46,6,0,518928,Truck
2024-01-27,Supplier_D,India,Manu_Y,America,WH_Chicago,DC_Paris,Monitor,1724,81,41,8,1,215500,Truck
2024-11-21,Supplier_B,Brazil,Manu_X,Asia,WH_SaoPaulo,DC_Toronto,Tablet,1689,79,45,10,0,199302,Rail
2024-12-21,Supplier_C,China,Manu_Y,Europe,WH_SaoPaulo,DC_Paris,Router,289,152,94,3,0,68204,Truck
2023-09-18,Supplier_A,India,Manu_Y,Asia,WH_SaoPaulo,DC_Paris,Laptop,1967,234,14,2,1,572397,Rail
2024-11-05,Supplier_B,India,Manu_Z,Asia,WH_Chicago,DC_Rio,Router,1046,224,52,8,0,298110,Air
2024-07-30,Supplier_D,Germany,Manu_Y,Asia,WH_Chicago,DC_Toronto,Tablet,216,209,78,5,2,52704,Sea
2024-07-06,Supplier_A,Germany,Manu_Z,Europe,WH_Chicago,DC_Mumbai,Phone,1498,220,36,8,1,458388,Sea
2024-11-05,Supplier_B,India,Manu_X,Europe,WH_Chicago,DC_Rio,Tablet,338,62,12,8,0,42250,Sea
2025-07-27,Supplier_D,Germany,Manu_X,America,WH_Berlin,DC_Rio,Phone,109,278,27,6,0,36406,Sea
2024-07-27,Supplier_C,Brazil,Manu_Z,Asia,WH_Chicago,DC_Seoul,Phone,836,167,23,9,0,163856,Air
2023-12-18,Supplier_C,China,Manu_X,Europe,WH_Tokyo,DC_Rio,Tablet,237,176,15,4,0,53799,Sea
2024-09-21,Supplier_D,India,Manu_Y,Europe,WH_Tokyo,DC_Seoul,Tablet,1304,145,22,3,0,318176,Truck
2024-01-27,Supplier_A,Japan,Manu_X,Europe,WH_SaoPaulo,DC_Seoul,Router,1370,177,78,5,0,308250,Sea
2023-12-02,Supplier_B,India,Manu_Z,America,WH_Chicago,DC_Mumbai,Phone,648,284,69,7,0,217728,Sea
2025-01-12,Supplier_A,Brazil,Manu_Z,Europe,WH_Tokyo,DC_Rio,Monitor,886,237,47,3,1,240992,Sea
2024-05-08,Supplier_D,Brazil,Manu_Z,America,WH_Tokyo,DC_Seoul,Laptop,453,290,38,5,0,168063,Truck
2025-03-14,Supplier_B,China,Manu_X,Asia,WH_Tokyo,DC_Paris,Laptop,1563,120,19,7,0,253206,Sea
2024-11-26,Supplier_C,Japan,Manu_Z,America,WH_Delhi,DC_Toronto,Monitor,704,186,45,2,0,186560,Sea
2024-01-11,Supplier_B,China,Manu_X,Europe,WH_Tokyo,DC_Mumbai,Router,917,97,53,7,2,148554,Air
2024-12-08,Supplier_A,China,Manu_Z,America,WH_SaoPaulo,DC_Mumbai,Laptop,1993,289,42,10,2,655697,Rail
2023-12-07,Supplier_B,China,Manu_Y,Asia,WH_Tokyo,DC_Rio,Phone,765,226,81,7,0,211140,Sea
2024-12-26,Supplier_B,Japan,Manu_Z,Europe,WH_Tokyo,DC_Mumbai,Laptop,1089,50,66,10,1,145926,Sea
2025-04-21,Supplier_C,Brazil,Manu_Z,Europe,WH_Tokyo,DC_Rio,Router,1426,208,29,5,1,427800,Rail
2024-06-10,Supplier_B,China,Manu_X,Asia,WH_Berlin,DC_Toronto,Monitor,1551,198,58,4,1,448239,Rail
2024-03-21,Supplier_A,Japan,Manu_X,America,WH_Berlin,DC_Seoul,Laptop,650,280,59,6,1,235950,Sea
2024-08-13,Supplier_D,USA,Manu_Y,Asia,WH_Chicago,DC_Seoul,Laptop,550,114,77,9,0,93500,Rail
2023-09-17,Supplier_C,Brazil,Manu_Z,Europe,WH_SaoPaulo,DC_Toronto,Phone,1400,259,75,5,1,462000,Air
2024-05-09,Supplier_B,India,Manu_Z,Asia,WH_Chicago,DC_Seoul,Monitor,1031,88,48,7,1,140216,Truck
2024-04-25,Supplier_C,Germany,Manu_X,Asia,WH_Berlin,DC_Rio,Phone,1919,115,14,9,0,310878,Truck
2025-06-01,Supplier_C,Germany,Manu_X,America,WH_Chicago,DC_Seoul,Laptop,1700,73,53,4,1,202300,Truck
2023-10-27,Supplier_B,Japan,Manu_Z,America,WH_Chicago,DC_Paris,Monitor,403,144,93,4,3,71331,Sea
2025-01-09,Supplier_D,Brazil,Manu_Z,Asia,WH_Berlin,DC_Rio,Tablet,1294,160,56,10,0,240684,Rail
2024-09-27,Supplier_C,China,Manu_Z,Europe,WH_Chicago,DC_Paris,Phone,277,177,80,8,0,57893,Rail
2024-12-23,Supplier_B,Germany,Manu_Z,America,WH_Delhi,DC_Toronto,Phone,1647,134,42,9,0,344223,Air
2025-06-09,Supplier_C,China,Manu_Y,America,WH_Chicago,DC_Paris,Laptop,762,277,69,6,0,253746,Truck
2025-05-29,Supplier_D,India,Manu_Y,Europe,WH_SaoPaulo,DC_Mumbai,Phone,128,192,65,9,0,33024,Sea
2023-11-03,Supplier_B,Brazil,Manu_Y,Europe,WH_SaoPaulo,DC_Paris,Tablet,664,221,50,5,0,203184,Truck
2024-09-07,Supplier_D,Germany,Manu_Y,America,WH_Chicago,DC_Toronto,Monitor,1169,147,45,4,2,267701,Air
2024-05-06,Supplier_B,India,Manu_Y,Asia,WH_Tokyo,DC_Seoul,Monitor,1802,181,68,8,0,403648,Truck
2024-01-02,Supplier_B,China,Manu_Z,America,WH_Chicago,DC_Seoul,Laptop,1866,265,33,8,0,638172,Air
2025-04-28,Supplier_D,Japan,Manu_X,America,WH_Delhi,DC_Seoul,Tablet,459,267,78,8,1,136323,Rail
2023-12-06,Supplier_A,Japan,Manu_X,Europe,WH_SaoPaulo,DC_Mumbai,Laptop,601,186,74,3,1,129816,Sea
2025-04-04,Supplier_B,India,Manu_Z,Europe,WH_Delhi,DC_Mumbai,Phone,758,294,33,8,0,267574,Sea
2025-03-30,Supplier_A,Japan,Manu_Y,America,WH_SaoPaulo,DC_Mumbai,Monitor,902,87,64,4,0,123574,Air
2025-03-16,Supplier_B,China,Manu_Z,Asia,WH_SaoPaulo,DC_Toronto,Tablet,1751,122,80,9,1,320433,Sea
2024-04-09,Supplier_D,USA,Manu_X,Asia,WH_Tokyo,DC_Paris,Monitor,402,179,32,2,0,95274,Air
2024-11-12,Supplier_B,Germany,Manu_Y,Asia,WH_Berlin,DC_Rio,Phone,514,65,26,10,2,64764,Truck
2025-03-12,Supplier_C,Brazil,Manu_Y,America,WH_Tokyo,DC_Rio,Monitor,1345,169,69,7,1,355080,Truck
2025-06-10,Supplier_C,India,Manu_Y,Asia,WH_SaoPaulo,DC_Seoul,Monitor,191,92,19,7,2,25403,Air
2023-08-08,Supplier_C,Germany,Manu_X,Asia,WH_Tokyo,DC_Toronto,Monitor,1531,222,66,4,1,382750,Rail
2025-06-11,Supplier_A,Brazil,Manu_Y,Europe,WH_Berlin,DC_Mumbai,Laptop,1433,282,20,3,2,451395,Truck
2025-07-26,Supplier_A,Japan,Manu_Y,America,WH_Chicago,DC_Mumbai,Monitor,1645,162,56,4,0,370125,Air
2024-08-17,Supplier_D,USA,Manu_Y,Asia,WH_Tokyo,DC_Paris,Router,544,268,21,9,0,165376,Sea
2025-06-01,Supplier_C,India,Manu_Y,America,WH_Chicago,DC_Rio,Phone,1860,297,84,3,1,647280,Air
2024-01-21,Supplier_D,Germany,Manu_Z,Asia,WH_Delhi,DC_Seoul,Monitor,286,143,30,9,1,59202,Air
2024-11-11,Supplier_D,Japan,Manu_Z,Asia,WH_SaoPaulo,DC_Toronto,Monitor,1034,256,24,3,0,291588,Truck
2024-05-18,Supplier_D,Brazil,Manu_Z,Asia,WH_Delhi,DC_Seoul,Phone,365,201,26,7,0,103295,Sea
2025-07-22,Supplier_C,USA,Manu_Y,Asia,WH_Berlin,DC_Seoul,Phone,1044,275,96,4,1,310068,Truck
2025-05-13,Supplier_A,USA,Manu_Y,Asia,WH_Tokyo,DC_Seoul,Tablet,192,65,67,2,0,25920,Truck
2024-06-29,Supplier_A,Brazil,Manu_X,America,WH_Berlin,DC_Paris,Tablet,1050,50,72,4,1,151200,Rail
2024-07-05,Supplier_D,USA,Manu_X,Asia,WH_Chicago,DC_Mumbai,Monitor,1899,189,44,3,0,438669,Air
2025-07-01,Supplier_B,Germany,Manu_X,Asia,WH_Berlin,DC_Seoul,Laptop,517,254,13,8,1,171127,Rail
2024-10-15,Supplier_D,Japan,Manu_Z,Europe,WH_Delhi,DC_Seoul,Router,330,274,27,3,1,115170,Rail
2025-07-26,Supplier_B,China,Manu_Z,Europe,WH_Delhi,DC_Paris,Router,841,202,51,5,0,195953,Air
2024-04-07,Supplier_C,Germany,Manu_Y,Asia,WH_SaoPaulo,DC_Rio,Router,1867,122,10,4,0,345395,Sea
2025-04-06,Supplier_A,China,Manu_Z,Asia,WH_SaoPaulo,DC_Toronto,Monitor,1179,115,18,5,1,165060,Air
2024-04-14,Supplier_C,Germany,Manu_Z,Asia,WH_Berlin,DC_Toronto,Tablet,1060,276,70,2,0,373120,Sea
2023-08-31,Supplier_B,USA,Manu_Y,Asia,WH_Berlin,DC_Toronto,Tablet,106,77,20,8,2,18656,Truck
2025-07-18,Supplier_A,USA,Manu_X,America,WH_Tokyo,DC_Toronto,Phone,791,152,47,10,0,196168,Truck
2024-08-10,Supplier_D,China,Manu_Y,America,WH_Chicago,DC_Paris,Phone,1382,182,33,9,0,323388,Air
2024-12-06,Supplier_D,Germany,Manu_Z,America,WH_Tokyo,DC_Seoul,Laptop,542,264,52,9,0,161516,Truck
2023-12-11,Supplier_D,Germany,Manu_Z,Asia,WH_Berlin,DC_Mumbai,Tablet,567,149,12,4,1,100359,Air
2023-12-03,Supplier_A,Brazil,Manu_Y,America,WH_Chicago,DC_Mumbai,Router,874,72,70,6,1,138092,Rail
2023-11-06,Supplier_A,Germany,Manu_Y,Europe,WH_Delhi,DC_Mumbai,Router,1854,292,64,8,2,656316,Air
2023-11-12,Supplier_D,India,Manu_Y,Asia,WH_Berlin,DC_Mumbai,Monitor,1599,158,10,9,1,319800,Truck
2023-12-23,Supplier_A,China,Manu_Y,America,WH_Berlin,DC_Seoul,Router,1023,231,30,7,0,297693,Sea
